ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM1_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sénégal,Senegal,SN,Dakar,SN01,1927566 ,1953351 ,3880916 ,448272 ,436537 ,387078 ,378154 ,420677 ,411250 ,331949 ,258587 ,199302 ,158451 ,139162 ,106403 ,82931 ,46698 ,33252 ,19486 ,22727 
Sénégal,Senegal,SN,Diourbel,SN02,966161 ,886329 ,1852487 ,298750 ,301163 ,230572 ,193111 ,157810 ,132283 ,114638 ,87334 ,74065 ,55450 ,58909 ,36138 ,39744 ,20207 ,24386 ,10782 ,17151 
Sénégal,Senegal,SN,Fatick,SN03,446195 ,437588 ,883785 ,144622 ,149126 ,126555 ,97514 ,66678 ,56527 ,45960 ,39058 ,33335 ,27083 ,25974 ,19400 ,17052 ,10228 ,10709 ,5903 ,8047 
Sénégal,Senegal,SN,Kaffrine,SN04,352453 ,348981 ,701432 ,127579 ,126267 ,86827 ,71827 ,55485 ,51884 ,39957 ,31500 ,26664 ,18254 ,18893 ,11838 ,12770 ,6228 ,7434 ,3319 ,4712 
Sénégal,Senegal,SN,Kaolack,SN05,601814 ,586889 ,1188700 ,191636 ,195193 ,160357 ,131936 ,96905 ,83183 ,68180 ,56841 ,47869 ,35168 ,34925 ,24606 ,22196 ,12537 ,12719 ,6351 ,8092 
Sénégal,Senegal,SN,Kedougou,SN06,89679 ,97570 ,187248 ,30951 ,28416 ,22965 ,19234 ,16757 ,15173 ,11618 ,9937 ,7694 ,6104 ,5572 ,3848 ,3504 ,2134 ,1698 ,726 ,907 
Sénégal,Senegal,SN,Kolda,SN07,405081 ,414458 ,819538 ,139320 ,142614 ,108394 ,88706 ,65936 ,59870 ,46749 ,37169 ,32694 ,24809 ,22694 ,14747 ,14176 ,7507 ,6854 ,2934 ,4366 
Sénégal,Senegal,SN,Louga,SN08,544928 ,536563 ,1081495 ,161199 ,170993 ,141899 ,118165 ,92575 ,78739 ,66246 ,51375 ,47106 ,31648 ,34414 ,21644 ,22241 ,11701 ,13618 ,7015 ,10918 
Sénégal,Senegal,SN,Matam,SN09,353878 ,342031 ,695913 ,117416 ,116336 ,95196 ,75507 ,60199 ,47214 ,38202 ,28128 ,27858 ,18902 ,19220 ,12163 ,12823 ,7956 ,7898 ,4717 ,6180 
Sénégal,Senegal,SN,Saint-Louis,SN10,563658 ,560801 ,1124454 ,166139 ,172094 ,143821 ,122667 ,102544 ,82892 ,67665 ,54852 ,47610 ,37664 ,36266 ,26119 ,22834 ,13209 ,11488 ,7163 ,9428 
Sénégal,Senegal,SN,Sedhiou,SN11,276527 ,283876 ,560399 ,92186 ,100856 ,81104 ,62972 ,40702 ,37832 ,28906 ,22208 ,22656 ,17575 ,15643 ,10750 ,10489 ,5843 ,5274 ,2315 ,3086 
Sénégal,Senegal,SN,Tambacounda,SN12,416701 ,426154 ,842856 ,144316 ,141991 ,109657 ,89683 ,73904 ,62810 ,48724 ,39040 ,32395 ,24522 ,22731 ,15545 ,13985 ,7949 ,7279 ,3737 ,4584 
Sénégal,Senegal,SN,Thies,SN13,1103852 ,1109144 ,2212997 ,314382 ,323206 ,282452 ,236315 ,196724 ,172299 ,144452 ,115876 ,93989 ,73750 ,72081 ,54631 ,46340 ,26898 ,25364 ,14265 ,19965 
Sénégal,Senegal,SN,Ziguinchor,SN14,330725 ,348629 ,679353 ,88556 ,90414 ,91307 ,84446 ,62976 ,49866 ,40934 ,34411 ,28434 ,24131 ,20975 ,17365 ,14239 ,10506 ,8613 ,5667 ,6505 
