ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sénégal,Senegal,SN,Dakar,SN01,Dakar,SN0101,702722 ,715023 ,1417745 ,139746 ,131823 ,119389 ,129454 ,164094 ,169812 ,134841 ,105981 ,80713 ,63460 ,54732 ,42090 ,32676 ,18995 ,12768 ,7929 ,9239 
Sénégal,Senegal,SN,Dakar,SN01,Guediawaye,SN0102,205672 ,202137 ,407810 ,45691 ,45806 ,41349 ,40555 ,45139 ,43047 ,35112 ,27253 ,20614 ,15861 ,13948 ,11118 ,9050 ,4993 ,3706 ,2118 ,2450 
Sénégal,Senegal,SN,Dakar,SN01,Pikine,SN0103,716216 ,732128 ,1448341 ,182467 ,178471 ,156011 ,147745 ,153957 ,144758 ,117421 ,89004 ,68874 ,54744 ,49480 ,36838 ,28427 ,15360 ,11540 ,6183 ,7067 
Sénégal,Senegal,SN,Dakar,SN01,Rufisque,SN0104,302956 ,304063 ,607020 ,80368 ,80437 ,70329 ,60400 ,57487 ,53633 ,44575 ,36349 ,29101 ,24386 ,21002 ,16357 ,12778 ,7350 ,5238 ,3256 ,3971 
Sénégal,Senegal,SN,Diourbel,SN02,Bambey,SN0201,190426 ,180064 ,370489 ,61355 ,63872 ,49766 ,38971 ,29113 ,24874 ,20737 ,16371 ,13748 ,10229 ,11187 ,7659 ,7776 ,3995 ,4818 ,2318 ,3703 
Sénégal,Senegal,SN,Diourbel,SN02,Diourbel,SN0202,168436 ,163377 ,331812 ,52652 ,54117 ,42750 ,37081 ,28679 ,23164 ,19284 ,14502 ,12363 ,9766 ,9952 ,6748 ,7197 ,3723 ,4358 ,2148 ,3333 
Sénégal,Senegal,SN,Diourbel,SN02,M’Backe,SN0203,607299 ,542888 ,1150186 ,184743 ,183174 ,138056 ,117059 ,100018 ,84245 ,74617 ,56461 ,47954 ,35455 ,37770 ,21731 ,24771 ,12489 ,15210 ,6316 ,10115 
Sénégal,Senegal,SN,Fatick,SN03,Fatick,SN0301,211721 ,207957 ,419680 ,65410 ,69660 ,62463 ,46457 ,31139 ,25898 ,21207 ,18105 ,15803 ,13294 ,13066 ,10169 ,8533 ,5266 ,5644 ,3157 ,4400 
Sénégal,Senegal,SN,Fatick,SN03,Foundiougne,SN0302,175844 ,169847 ,345691 ,59827 ,59580 ,48304 ,38657 ,26077 ,22248 ,18085 ,15402 ,13093 ,10297 ,9427 ,6730 ,6145 ,3677 ,3547 ,1991 ,2605 
Sénégal,Senegal,SN,Fatick,SN03,Gossas,SN0303,58630 ,59784 ,118414 ,19385 ,19886 ,15788 ,12400 ,9462 ,8381 ,6668 ,5551 ,4439 ,3492 ,3481 ,2501 ,2374 ,1285 ,1518 ,755 ,1042 
Sénégal,Senegal,SN,Kaffrine,SN04,Birkelane,SN0401,63610 ,61606 ,125216 ,22456 ,21969 ,15310 ,12844 ,9743 ,8909 ,7239 ,5698 ,5068 ,3419 ,3678 ,2318 ,2377 ,1231 ,1421 ,645 ,893 
Sénégal,Senegal,SN,Kaffrine,SN04,Kaffrine,SN0402,131516 ,125399 ,256917 ,46697 ,46132 ,31538 ,27253 ,20453 ,18945 ,14242 ,11392 ,9678 ,6618 ,6816 ,4426 ,4730 ,2341 ,2673 ,1242 ,1742 
Sénégal,Senegal,SN,Kaffrine,SN04,Koungheul,SN0403,99820 ,102373 ,202193 ,36652 ,36903 ,25131 ,20255 ,16212 ,15240 ,11949 ,9204 ,7704 ,5317 ,5339 ,3163 ,3466 ,1637 ,1953 ,867 ,1209 
Sénégal,Senegal,SN,Kaffrine,SN04,Malem Hoddar,SN0404,57507 ,59603 ,117106 ,21774 ,21263 ,14848 ,11475 ,9077 ,8790 ,6527 ,5206 ,4214 ,2900 ,3060 ,1931 ,2197 ,1019 ,1387 ,565 ,868 
Sénégal,Senegal,SN,Kaolack,SN05,Guinguineo,SN0501,70791 ,71707 ,142498 ,22887 ,23230 ,19770 ,15093 ,11016 ,9876 ,8166 ,6653 ,5611 ,4354 ,4256 ,3151 ,2865 ,1635 ,1853 ,919 ,1164 
Sénégal,Senegal,SN,Kaolack,SN05,Kaolack,SN0502,307375 ,297274 ,604648 ,89000 ,91549 ,79998 ,68559 ,52167 ,43915 ,36687 ,30514 ,25394 ,19414 ,19371 ,14172 ,12067 ,6966 ,6690 ,3675 ,4508 
Sénégal,Senegal,SN,Kaolack,SN05,Nioro,SN0503,223648 ,217908 ,441554 ,79749 ,80414 ,60589 ,48284 ,33722 ,29392 ,23327 ,19674 ,16864 ,11400 ,11298 ,7283 ,7264 ,3936 ,4176 ,1757 ,2420 
Sénégal,Senegal,SN,Kedougou,SN06,Kedougou,SN0601,47091 ,50050 ,97141 ,15265 ,14671 ,12091 ,10484 ,8531 ,7414 ,5978 ,5283 ,4155 ,3237 ,2921 ,2117 ,1933 ,1194 ,933 ,418 ,516 
Sénégal,Senegal,SN,Kedougou,SN06,Salemata,SN0602,13841 ,13515 ,27355 ,4426 ,4715 ,3926 ,2855 ,1862 ,1826 ,1298 ,1336 ,1124 ,894 ,892 ,585 ,574 ,373 ,365 ,125 ,173 
Sénégal,Senegal,SN,Kedougou,SN06,Saraya,SN0603,28747 ,34005 ,62752 ,11260 ,9030 ,6948 ,5895 ,6364 ,5933 ,4342 ,3318 ,2415 ,1973 ,1759 ,1146 ,997 ,567 ,400 ,183 ,218 
Sénégal,Senegal,SN,Kolda,SN07,Kolda,SN0701,150733 ,153589 ,304320 ,47989 ,50417 ,41559 ,34844 ,25082 ,21772 ,17437 ,14410 ,12553 ,9964 ,8837 ,6038 ,5489 ,2902 ,2363 ,1080 ,1584 
Sénégal,Senegal,SN,Kolda,SN07,Medina Yoro Foulah,SN0702,84087 ,86742 ,170830 ,32419 ,32657 ,21725 ,17453 ,13639 ,12731 ,9502 ,7058 ,6178 ,4292 ,4065 ,2439 ,2476 ,1309 ,1345 ,533 ,1006 
Sénégal,Senegal,SN,Kolda,SN07,Velingara,SN0703,170261 ,174127 ,344388 ,58912 ,59540 ,45110 ,36409 ,27215 ,25367 ,19810 ,15701 ,13963 ,10553 ,9792 ,6270 ,6211 ,3296 ,3146 ,1321 ,1776 
Sénégal,Senegal,SN,Louga,SN08,Kebemer,SN0801,160884 ,159641 ,320526 ,48173 ,50316 ,40662 ,35560 ,27776 ,23644 ,19836 ,15395 ,13842 ,9167 ,10351 ,6195 ,6693 ,3456 ,4090 ,2039 ,3329 
Sénégal,Senegal,SN,Louga,SN08,Linguere,SN0802,148502 ,150756 ,299261 ,46151 ,49171 ,39237 ,31654 ,24444 ,21592 ,17827 ,13867 ,13126 ,8890 ,9577 ,5733 ,6079 ,3289 ,3800 ,2005 ,2817 
Sénégal,Senegal,SN,Louga,SN08,Louga,SN0803,235542 ,226166 ,461708 ,66875 ,71506 ,62000 ,50951 ,40355 ,33503 ,28583 ,22113 ,20138 ,13591 ,14486 ,9716 ,9469 ,4956 ,5728 ,2971 ,4772 
Sénégal,Senegal,SN,Matam,SN09,Kanel,SN0901,151379 ,143797 ,295177 ,51383 ,50312 ,41143 ,31855 ,25574 ,20008 ,15593 ,10880 ,11548 ,7753 ,7757 ,4980 ,5208 ,3369 ,3365 ,1953 ,2498 
Sénégal,Senegal,SN,Matam,SN09,Matam,SN0902,171310 ,165942 ,337254 ,53413 ,54089 ,46333 ,37712 ,29603 ,22818 ,18877 ,14744 ,13620 ,9536 ,9755 ,6327 ,6583 ,4075 ,3986 ,2473 ,3308 
Sénégal,Senegal,SN,Matam,SN09,Ranerou,SN0903,31189 ,32292 ,63482 ,12620 ,11935 ,7720 ,5940 ,5022 ,4388 ,3732 ,2504 ,2690 ,1613 ,1708 ,856 ,1032 ,512 ,547 ,291 ,374 
Sénégal,Senegal,SN,Saint-Louis,SN10,Dagana,SN1001,144648 ,154354 ,299001 ,42691 ,45436 ,38023 ,32527 ,27204 ,23273 ,19126 ,15248 ,13063 ,10347 ,9982 ,7294 ,5704 ,3157 ,2598 ,1504 ,1822 
Sénégal,Senegal,SN,Saint-Louis,SN10,Podor,SN1002,234774 ,223894 ,458664 ,77023 ,77238 ,60810 ,49847 ,37567 ,29552 ,24748 ,19849 ,18133 ,13788 ,13238 ,9391 ,9045 ,5520 ,5081 ,3233 ,4603 
Sénégal,Senegal,SN,Saint-Louis,SN10,Saint Louis,SN1003,184236 ,182553 ,366789 ,46425 ,49420 ,44988 ,40293 ,37773 ,30067 ,23791 ,19755 ,16414 ,13529 ,13046 ,9434 ,8085 ,4532 ,3809 ,2426 ,3003 
Sénégal,Senegal,SN,Sedhiou,SN11,Bounkiling,SN1101,88355 ,91734 ,180087 ,31066 ,32690 ,25019 ,19314 ,13495 ,12960 ,10167 ,7561 ,7069 ,5045 ,4702 ,3041 ,3097 ,1526 ,1654 ,662 ,1016 
Sénégal,Senegal,SN,Sedhiou,SN11,Goudomp,SN1102,96189 ,96914 ,193106 ,31568 ,35595 ,28745 ,21875 ,13359 ,12511 ,9209 ,7382 ,7770 ,6478 ,5616 ,3828 ,3545 ,2120 ,1767 ,783 ,957 
Sénégal,Senegal,SN,Sedhiou,SN11,Sedhiou,SN1103,91983 ,95228 ,187206 ,29552 ,32571 ,27340 ,21783 ,13848 ,12361 ,9530 ,7265 ,7817 ,6052 ,5325 ,3881 ,3847 ,2197 ,1853 ,870 ,1113 
