ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,ADM3_FR,ADM3_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sénégal,Senegal,SN,Dakar,SN01,Dakar,SN0101,Almadies,SN010101,134511,126898,261410,26466,24984,22676,23685,29668,30125,23752,18601,14658,11800,10409,8595,6922,3856,2294,1327,1590
Sénégal,Senegal,SN,Dakar,SN01,Dakar,SN0101,Grand Dakar,SN010102,188049,191392,379442,35359,33652,30761,34433,43074,44901,36100,28901,22761,18029,15462,11686,8983,5424,3943,2761,3209
Sénégal,Senegal,SN,Dakar,SN01,Dakar,SN0101,Parcelles Assainies,SN010103,270015,272474,542487,58403,54155,47989,50100,61690,65764,52902,40913,29419,22101,18721,14376,11090,6179,4062,2259,2364
Sénégal,Senegal,SN,Dakar,SN01,Dakar,SN0101,Plateau,SN010104,110147,124259,234406,19518,19032,17963,21236,29662,29022,22087,17566,13875,11530,10140,7433,5681,3536,2469,1582,2076
Sénégal,Senegal,SN,Dakar,SN01,Guediawaye,SN0102,Guediawaye,SN010201,205672,202137,407810,45691,45806,41349,40555,45139,43047,35112,27253,20614,15861,13948,11118,9050,4993,3706,2118,2450
Sénégal,Senegal,SN,Dakar,SN01,Pikine,SN0103,Niayes,SN010301,306341,311100,617440,81378,80659,69995,65081,65887,59246,47008,35330,27481,22116,20479,15371,11892,6232,4516,2236,2533
Sénégal,Senegal,SN,Dakar,SN01,Pikine,SN0103,Pikine Dagoudane,SN010303,200437,206154,406590,48693,46063,40229,39529,42975,42236,35524,27378,20933,16256,14545,10551,8307,4659,3766,2244,2705
Sénégal,Senegal,SN,Dakar,SN01,Pikine,SN0103,Thiaroye,SN010302,209438,214874,424311,52396,51749,45787,43135,45095,43276,34889,26296,20460,16372,14456,10916,8228,4469,3258,1703,1829
Sénégal,Senegal,SN,Dakar,SN01,Rufisque,SN0104,Rufisque Bargny,SN010402,155976,155260,311236,39049,38567,34474,30334,29934,28613,23836,19507,15472,13123,11222,8859,7084,4157,2813,1811,2380
Sénégal,Senegal,SN,Dakar,SN01,Rufisque,SN0104,Sangalkam,SN010401,146980,148803,295784,41319,41870,35855,30066,27553,25020,20739,16842,13629,11263,9780,7498,5694,3193,2425,1445,1591
Sénégal,Senegal,SN,Diourbel,SN02,Bambey,SN0201,Baba Garage,SN020103,27459,27594,55054,8505,8824,6978,5605,4256,3976,3279,2788,2173,1615,1746,1289,1335,722,856,475,632
Sénégal,Senegal,SN,Diourbel,SN02,Bambey,SN0201,Lambaye,SN020101,65822,59638,125459,21203,22597,17516,12824,9077,7672,6953,5253,4475,3274,3908,2585,2823,1396,1720,807,1380
Sénégal,Senegal,SN,Diourbel,SN02,Bambey,SN0201,N'Goye,SN020102,97145,92832,189976,31647,32451,25272,20542,15780,13226,10505,8330,7100,5340,5533,3785,3618,1877,2242,1036,1691
Sénégal,Senegal,SN,Diourbel,SN02,Diourbel,SN0202,N'Dindy,SN020202,29264,30098,59362,10284,10574,7517,5908,4624,4197,3223,2315,2128,1742,1752,1169,1346,716,783,416,669
Sénégal,Senegal,SN,Diourbel,SN02,Diourbel,SN0202,NDoulo,SN020201,139172,133279,272450,42368,43543,35233,31173,24055,18967,16061,12187,10235,8024,8200,5579,5851,3007,3575,1732,2664
Sénégal,Senegal,SN,Diourbel,SN02,M’Backe,SN0203,Kael,SN020303,23494,26501,49994,8508,8780,6204,5289,4064,3632,2972,2251,1784,1348,1409,871,972,463,657,290,498
Sénégal,Senegal,SN,Diourbel,SN02,M’Backe,SN0203,N'Dame,SN020301,563476,496686,1060162,169636,167507,126532,107572,92949,77703,69436,52277,44688,32835,35234,20081,23041,11604,14064,5782,9220
Sénégal,Senegal,SN,Diourbel,SN02,M’Backe,SN0203,Taif,SN020302,20329,19701,40030,6599,6887,5320,4198,3005,2910,2209,1933,1482,1272,1127,779,758,422,489,244,397
Sénégal,Senegal,SN,Fatick,SN03,Fatick,SN0301,Diakhao,SN030101,45861,44851,90713,14888,15911,13707,9345,6163,5685,4330,3777,3406,2885,2842,2046,1855,1105,1288,640,840
Sénégal,Senegal,SN,Fatick,SN03,Fatick,SN0301,Fimla,SN030102,46233,47671,93905,13332,14026,13585,10961,7641,5938,5403,4623,3748,3134,2984,2247,1829,1263,1223,775,1188
Sénégal,Senegal,SN,Fatick,SN03,Fatick,SN0301,Niakhar,SN030104,49302,46927,96229,16358,17564,14819,10259,6394,5334,4527,3792,3421,2810,2771,2212,1963,1124,1289,670,923
Sénégal,Senegal,SN,Fatick,SN03,Fatick,SN0301,Tattaguine,SN030103,70325,68508,138833,20832,22159,20352,15892,10941,8941,6947,5913,5228,4465,4469,3664,2886,1774,1844,1072,1449
Sénégal,Senegal,SN,Fatick,SN03,Foundiougne,SN0302,Djilor,SN030201,65622,62504,128127,22566,22393,18593,14743,9331,7551,6268,5718,4673,3872,3454,2521,2200,1355,1258,699,929
Sénégal,Senegal,SN,Fatick,SN03,Foundiougne,SN0302,Niodior,SN030203,18372,17341,35713,4847,5775,5158,3828,2658,2349,2126,1654,1461,1181,1031,854,801,565,539,363,525
Sénégal,Senegal,SN,Fatick,SN03,Foundiougne,SN0302,Toubakouta,SN030202,91850,90002,181851,32414,31412,24553,20086,14088,12348,9691,8030,6959,5244,4942,3355,3144,1757,1750,929,1151
Sénégal,Senegal,SN,Fatick,SN03,Gossas,SN0303,Colobane,SN030301,27515,28913,56428,9614,9655,7522,5751,4610,4110,3105,2571,2048,1621,1596,1089,1074,574,643,346,496
Sénégal,Senegal,SN,Fatick,SN03,Gossas,SN0303,Ouadiour,SN030302,31115,30871,61986,9771,10231,8266,6649,4852,4271,3563,2980,2391,1871,1885,1412,1300,711,875,409,546
Sénégal,Senegal,SN,Kaffrine,SN04,Birkelane,SN0401,Keur MBoucki,SN040102,22989,23184,46173,7726,7588,6016,4891,3725,3243,2693,2133,1855,1290,1456,947,878,534,537,261,401
Sénégal,Senegal,SN,Kaffrine,SN04,Birkelane,SN0401,Mabo,SN040101,40621,38422,79043,14730,14381,9294,7953,6018,5666,4546,3565,3213,2129,2222,1371,1499,697,884,384,492
Sénégal,Senegal,SN,Kaffrine,SN04,Kaffrine,SN0402,Gniby,SN040201,62247,61437,123685,19782,20865,16270,14246,10357,8682,6993,5827,4770,3502,3399,2350,2479,1238,1326,728,873
